| Version  | Processes |     ReadFromFile     |         SCC         |       Elapsed       |      Speedup       |      Efficiency     |
|  Serial  |     1     |       0.149405       | 0.10000066666666667 | 0.24940566666666666 |        1.0         |         1.0         |
| Parallel |     1     | 0.05814433333333333  | 0.10080966666666667 |       0.158954      | 1.5690430355113218 |  1.5690430355113218 |
| Parallel |     2     |       0.030111       | 0.16972833333333334 | 0.19983933333333334 | 1.2480309181709306 |  0.6240154590854653 |
| Parallel |     4     | 0.015778333333333335 | 0.20055766666666666 |       0.216336      | 1.1528625224958706 | 0.28821563062396766 |
| Parallel |     8     | 0.12214233333333334  |  0.4330446666666667 |       0.555187      | 0.4492282179998211 | 0.05615352724997764 |
