| Version  | Processes | ReadFromFile |   SCC   | Elapsed | Speedup | Efficiency |
|  Serial  |     1     |   0.49853    | 0.50677 |  1.0053 |   1.0   |    1.0     |
| Parallel |     1     |   0.23593    | 0.51935 | 0.75528 | 1.33103 |  1.33103   |
| Parallel |     2     |   0.11759    | 0.61679 | 0.73438 | 1.36891 |  0.68445   |
| Parallel |     4     |   0.06409    |  0.5566 | 0.62069 | 1.61965 |  0.40491   |
| Parallel |     8     |   0.13386    | 0.74522 | 0.87908 | 1.14358 |  0.14295   |
