, Version  , Processes , ReadFromFile ,   SCC    , Elapsed  , Speedup , Efficiency ,
,  Serial  ,     1     ,   6.49234    , 5.66435  , 12.15669 ,   1.0   ,    1.0     ,
, Parallel ,     1     ,   6.00804    , 11.63175 , 17.63979 , 0.68916 ,  0.68916   ,
, Parallel ,     2     ,   6.45456    , 16.2551  , 22.70967 , 0.53531 ,  0.26765   ,
, Parallel ,     4     ,   6.00787    , 26.63085 , 32.63872 , 0.37246 ,  0.09312   ,
, Parallel ,     8     ,   3.76604    , 22.79248 , 26.55852 , 0.45773 ,  0.05722   ,
, Parallel ,     16    ,   1.75093    , 20.35095 , 22.10187 , 0.55003 ,  0.03438   ,
