| Version  | Processes | ReadFromFile |   SCC   | Elapsed | Speedup | Efficiency |
|  Serial  |     1     |   0.18321    | 0.29536 | 0.47858 |   1.0   |    1.0     |
| Parallel |     1     |   0.09168    |  0.2977 | 0.38937 | 1.22911 |  1.22911   |
| Parallel |     2     |   0.04689    | 0.33157 | 0.37846 | 1.26455 |  0.63227   |
| Parallel |     4     |   0.02812    | 0.30888 |  0.337  | 1.42012 |  0.35503   |
| Parallel |     8     |   0.09435    | 0.43555 |  0.5299 | 0.90315 |  0.11289   |
