, Version  , Processes , ReadFromFile ,   SCC   , Elapsed , Speedup , Efficiency ,
,  Serial  ,     1     ,   0.52422    , 0.63505 , 1.15927 ,   1.0   ,    1.0     ,
, Parallel ,     1     ,   0.40878    , 0.55907 , 0.96785 , 1.19778 ,  1.19778   ,
, Parallel ,     2     ,   0.31035    , 0.83747 , 1.14782 , 1.00998 ,  0.50499   ,
, Parallel ,     4     ,    0.5727    , 1.14941 , 1.72211 , 0.67317 ,  0.16829   ,
, Parallel ,     8     ,   1.42506    , 1.11625 ,  2.5413 , 0.45617 ,  0.05702   ,
, Parallel ,     16    ,    0.5779    ,  1.0295 , 1.60741 ,  0.7212 ,  0.04508   ,
